TimeInterval,GantryID,小客車,小貨車,大客車,大貨車,聯結車,direction,小客車速度,小貨車速度,大客車速度,大貨車速度,聯結車速度
114,2514,122,56,1,26,16,0,104,104,97,91,86
114,2514,99,52,1,24,24,1,108,104,97,93,86
114,2603,105,45,4,23,12,0,108,104,95,93,90
114,2603,67,45,3,25,19,1,108,104,97,90,90
114,2674,88,45,5,22,20,0,100,100,90,86,86
114,2674,108,51,3,16,21,1,104,100,93,95,86
114,2714,108,43,5,17,13,0,108,104,100,90,93
114,2714,76,38,4,24,17,1,108,104,100,95,86
114,2827,97,44,6,28,14,0,108,104,97,97,93
114,2827,102,61,4,29,15,1,104,100,97,90,86
114,2866,122,66,3,37,29,0,108,104,97,93,86
114,2866,88,54,6,18,13,1,108,108,91,93,86
114,2930,125,50,4,28,28,0,104,104,90,91,86
114,2930,98,62,0,22,13,1,104,104,0,93,86
114,3019,125,58,8,30,29,0,104,97,93,90,90
114,3019,99,48,1,30,20,1,90,90,79,82,82
114,3083,123,76,3,27,38,0,100,100,93,86,86
114,3083,118,54,0,23,12,1,82,79,0,68,68
114,3126,126,99,5,24,30,0,100,100,93,90,88
114,3126,104,58,3,15,16,1,183,161,86,170,150
114,3185,157,100,3,22,18,0,261,197,90,168,84
114,3185,136,66,1,24,21,1,93,90,100,84,79
114,3227,144,100,1,22,25,0,100,97,86,90,90
114,3227,122,85,2,25,30,1,100,97,93,90,86
114,3252,126,82,0,25,39,0,93,90,0,86,82
114,3252,114,65,1,36,34,1,100,97,90,86,82
114,3286,94,66,4,25,41,0,100,93,84,82,82
114,3286,132,75,5,36,25,1,97,93,90,86,79
114,3366,128,78,2,34,39,0,90,86,86,82,82
114,3366,159,100,4,37,25,1,97,90,91,82,75
114,3398,181,95,3,40,44,0,86,86,82,79,79
114,3398,96,63,1,21,22,1,79,79,64,72,72
114,3460,194,81,1,21,38,0,90,86,75,79,75
114,3460,123,59,0,19,38,1,97,93,0,82,82
114,3535,156,92,3,31,50,0,79,77,72,64,68
114,3535,120,63,2,16,39,1,97,90,91,84,82
114,3559,169,98,5,29,59,0,79,79,75,72,72
114,3561,147,75,2,23,38,1,86,79,70,72,72
114,3590,159,85,2,23,50,0,86,82,82,79,75
114,3590,135,66,1,15,38,1,122,90,86,157,82
114,3640,159,79,2,29,56,0,240,245,161,75,174
114,3640,160,87,3,17,61,1,93,90,86,82,82
114,3676,110,76,2,24,57,0,90,86,68,81,82
114,3676,167,92,2,21,59,1,90,82,72,75,79
114,3686,14,6,4,0,26,1,86,86,75,0,75
114,3696,121,81,1,31,61,0,86,79,68,72,72
114,3736,12,6,0,5,18,0,82,84,0,75,73
115,5,55,15,5,1,0,1,93,93,86,86,0
115,17,56,20,5,0,0,0,90,90,90,0,0
115,17,83,21,6,2,3,1,90,90,88,77,72
115,29,78,31,7,0,0,0,90,86,86,0,0
115,29,115,31,6,9,4,1,90,90,84,79,75
115,61,93,39,6,2,0,0,93,90,90,81,0
115,61,165,52,3,10,18,1,90,86,82,79,77
115,99,130,59,8,7,5,0,86,86,88,82,72
115,99,181,67,8,17,24,1,118,114,43,109,86
115,147,139,34,12,9,15,0,251,248,158,156,228
115,147,166,51,8,18,31,1,25,25,19,25,25
115,153,163,41,13,10,28,0,64,68,68,68,64
115,153,85,47,1,26,29,1,57,57,57,54,57
115,182,128,44,2,25,32,1,57,54,54,54,54
115,213,108,34,4,12,23,0,43,43,41,43,43
115,233,111,47,2,13,16,0,61,61,57,61,63
115,248,210,76,1,26,30,1,90,82,82,84,84
115,256,198,54,6,14,5,0,28,28,28,30,32
115,264,210,62,15,19,30,1,90,90,82,82,82
115,293,145,53,6,11,11,0,14,14,18,14,14
115,293,187,63,18,17,22,1,79,79,79,75,75
115,339,335,150,16,25,25,1,165,161,158,143,72
115,340,180,67,12,12,12,0,104,96,96,93,61
115,376,240,95,12,18,8,0,32,28,10,25,30
115,376,127,74,8,25,22,1,79,79,70,57,64
115,413,151,57,9,16,18,0,25,25,28,25,28
115,413,136,60,5,17,23,1,93,90,90,82,79
115,467,130,46,9,14,8,0,43,39,36,36,36
115,467,116,58,1,23,25,1,97,93,97,82,86
115,492,190,68,6,24,13,0,64,64,72,64,64
115,492,123,64,2,25,22,1,90,86,91,82,86
115,511,186,62,6,27,13,0,97,97,88,90,86
115,511,161,102,4,25,28,1,230,222,77,184,154
115,532,163,75,4,33,9,0,212,195,81,158,82
115,532,210,119,9,29,31,1,82,86,78,75,76
115,557,223,98,4,39,20,0,90,82,82,75,82
115,557,153,82,4,18,37,1,86,82,79,72,75
115,578,138,92,5,49,30,1,147,147,141,64,68
115,584,154,67,1,40,16,0,90,90,72,79,79
115,633,163,73,2,44,18,0,165,163,73,75,75
115,633,100,59,2,31,32,1,90,86,77,75,77
115,664,103,58,2,24,8,0,97,90,84,90,90
115,664,132,75,4,33,26,1,93,90,82,86,86
115,681,127,54,0,35,15,0,97,93,0,90,82
115,681,77,34,1,26,16,1,93,90,82,81,82
115,699,85,33,0,15,13,0,97,93,0,86,82
115,699,80,43,3,22,13,1,50,50,46,50,50
115,750,192,79,2,22,20,0,197,197,91,176,86
115,750,200,66,7,19,19,1,32,32,36,36,32
115,880,146,83,9,26,12,0,93,93,82,84,82
115,880,199,80,9,19,17,1,61,61,61,57,57
115,928,151,70,5,26,12,0,61,61,50,55,55
115,928,112,51,7,17,21,1,86,86,75,75,79
115,950,122,65,10,18,27,1,86,82,81,75,72
115,956,127,73,2,24,16,0,32,32,32,32,32
115,979,116,66,3,34,16,0,90,90,86,79,79
115,980,208,85,9,20,24,1,240,239,222,224,221
115,1045,178,61,8,20,7,0,258,262,179,207,183
115,1045,101,39,3,13,3,1,97,97,97,86,90
115,1123,136,64,6,13,7,0,100,97,93,90,90
115,1123,111,43,6,20,6,1,100,97,97,90,91
115,1292,156,62,1,22,7,0,100,97,93,79,79
115,1292,96,47,4,18,8,1,100,97,93,88,86
115,1389,115,81,10,21,7,0,104,100,97,93,93
115,1389,116,52,4,8,8,1,100,97,88,90,84
115,1465,134,60,7,17,9,0,104,100,97,93,86
115,1465,115,47,4,15,3,1,104,100,95,90,90
115,1572,129,73,2,24,8,0,100,97,95,86,81
115,1572,114,50,3,9,3,1,104,100,90,86,90
115,1621,157,73,10,12,6,0,104,100,97,91,90
115,1621,82,27,4,8,1,1,104,104,91,90,90
115,1664,193,81,8,16,3,0,273,258,86,172,79
115,1664,137,54,2,15,5,1,97,93,90,79,90
115,1699,173,82,4,20,5,0,100,90,81,82,86
115,1699,114,51,2,10,1,1,100,93,91,86,82
115,1774,143,66,1,23,3,0,97,93,82,86,90
115,1774,105,55,4,12,5,1,108,100,97,93,90
115,1802,103,72,4,20,6,0,104,100,50,93,88
115,1802,104,44,3,15,5,1,104,100,100,90,93
115,1839,122,55,2,25,10,0,104,100,97,97,88
115,1839,136,62,6,15,4,1,100,99,91,93,90
115,1906,131,56,2,24,8,0,100,95,100,90,82
115,1906,194,111,14,24,12,1,245,233,157,228,147
115,1960,220,101,3,37,17,0,254,251,161,233,239
115,1960,169,108,12,30,19,1,97,93,90,86,86
115,2011,141,63,15,34,19,0,100,97,97,90,86
115,2011,181,101,3,25,28,1,97,93,86,82,86
115,2089,160,74,7,24,13,0,97,93,90,93,79
115,2089,177,86,4,29,16,1,97,97,91,86,86
115,2156,107,60,5,22,14,0,108,104,97,90,91
115,2156,121,66,3,29,29,1,104,100,100,93,90
115,2249,95,45,5,32,23,0,108,104,97,75,82
115,2249,153,79,3,19,29,1,97,97,90,93,86
115,2322,117,57,13,36,14,0,100,97,25,82,88
115,2322,148,69,3,15,25,1,100,100,90,90,90
115,2394,108,62,3,34,15,0,108,104,93,97,86
115,2394,150,63,5,28,22,1,104,100,93,91,93
115,2425,96,47,3,26,21,0,108,108,97,99,90
115,2425,89,41,7,18,14,1,108,108,97,93,90
115,2472,84,34,0,20,20,0,108,104,0,50,81
115,2472,105,62,2,30,18,1,104,104,91,90,86
115,2514,110,51,6,27,16,0,104,104,97,93,88
115,2514,112,73,3,17,20,1,104,100,97,93,88
115,2603,108,66,5,25,18,0,108,104,97,93,90
115,2603,91,49,2,23,24,1,104,100,97,93,90
115,2674,98,35,7,19,15,0,104,100,93,97,90
115,2674,93,49,0,30,23,1,108,104,0,91,86
115,2714,99,62,5,30,19,0,104,100,97,93,86
115,2714,91,46,0,13,16,1,108,104,0,97,84
115,2827,77,58,3,25,21,0,108,104,97,97,90
115,2827,82,49,0,16,12,1,108,100,0,91,91
115,2866,112,46,5,26,23,0,108,104,93,93,82
115,2866,76,44,4,27,18,1,108,104,100,90,86
115,2930,86,50,9,22,20,0,108,104,97,97,86
115,2930,99,71,4,25,23,1,104,104,90,90,90
115,3019,122,67,2,30,34,0,104,100,93,90,86
115,3019,108,53,1,22,16,1,90,90,72,81,79
115,3083,110,85,3,23,28,0,104,100,93,90,86
115,3083,114,54,0,32,16,1,82,79,0,72,66
115,3126,147,88,5,30,28,0,104,100,93,88,90
115,3126,140,62,1,26,12,1,181,193,79,159,154
115,3185,156,86,1,25,28,0,262,222,90,239,238
115,3185,128,81,2,24,21,1,93,93,75,86,82
115,3227,143,88,5,25,37,0,93,90,86,86,82
115,3227,142,91,3,28,30,1,93,93,86,82,86
115,3252,136,95,4,44,46,0,90,86,77,77,75
115,3252,103,66,3,27,28,1,100,97,82,86,82
115,3286,126,73,2,43,37,0,93,93,90,82,79
115,3286,122,64,4,24,27,1,93,93,25,82,82
115,3366,150,73,1,37,43,0,90,90,86,82,82
115,3366,160,85,4,34,29,1,100,97,97,86,86
115,3398,149,85,2,31,49,0,93,90,86,82,82
115,3398,115,71,3,23,22,1,64,61,57,61,57
115,3460,158,96,2,30,47,0,82,82,46,75,75
115,3460,106,76,3,25,31,1,95,93,75,82,82
115,3535,166,95,4,26,57,0,82,82,77,75,75
115,3535,122,79,0,23,28,1,97,97,0,82,82
115,3559,153,84,3,21,45,0,86,82,75,82,75
115,3561,121,76,0,21,34,1,90,90,0,82,82
115,3590,172,81,1,19,47,0,77,75,72,75,75
115,3590,142,75,4,23,58,1,179,168,73,169,79
115,3640,167,80,4,19,58,0,258,252,82,154,215
115,3640,149,78,3,25,62,1,90,90,75,75,82
115,3676,132,87,1,31,68,0,86,82,86,79,79
115,3676,140,87,2,26,58,1,90,79,75,75,75
115,3686,8,5,0,0,22,1,88,82,0,0,75
115,3696,134,80,0,32,64,0,86,79,0,72,72
115,3736,5,4,1,3,27,0,79,82,64,75,72
116,5,52,9,1,0,0,1,86,90,68,0,0
116,17,45,17,3,1,0,0,93,97,93,90,0
116,17,85,22,4,3,3,1,90,90,86,79,82
116,29,60,18,4,2,2,0,91,88,90,90,79
116,29,105,27,3,5,7,1,90,93,82,82,79
116,61,78,36,7,3,2,0,90,90,93,82,77
116,61,157,46,5,6,23,1,90,90,82,79,75
116,99,129,65,15,10,13,0,75,75,72,63,68
116,99,180,68,4,18,23,1,132,129,68,132,87
116,147,128,35,8,13,22,0,236,229,75,223,220
116,147,128,41,3,20,25,1,21,25,21,21,21
116,153,151,59,5,16,25,0,68,68,68,66,64
116,153,104,37,2,10,29,1,57,57,45,57,54
116,182,102,58,1,19,35,1,57,57,54,54,54
116,213,115,49,2,14,22,0,43,43,45,43,43
116,233,122,43,3,17,17,0,57,57,61,57,57
116,248,195,80,2,28,34,1,82,82,86,82,81
116,256,172,80,5,16,10,0,32,28,32,30,32
116,264,209,85,3,25,32,1,90,90,86,82,82
116,293,121,60,12,19,22,0,14,14,18,18,14
116,293,196,60,10,16,16,1,86,82,79,79,72
116,339,388,184,24,30,24,1,158,154,154,143,72
116,340,233,87,13,12,6,0,104,96,95,97,61
116,376,246,80,12,19,17,0,32,28,14,21,32
116,376,156,78,9,17,23,1,75,73,64,61,61
116,413,147,50,7,16,9,0,28,28,32,28,28
116,413,129,78,7,23,26,1,90,86,86,75,79
116,467,155,51,6,13,13,0,43,39,41,36,39
116,467,138,80,2,35,22,1,93,90,84,82,82
116,492,155,66,5,27,18,0,75,75,72,72,70
116,492,114,78,2,31,24,1,90,86,91,79,86
116,511,172,74,6,28,20,0,93,90,84,86,86
116,511,146,96,3,32,23,1,230,211,124,211,79
116,532,181,96,4,35,22,0,258,243,81,156,77
116,532,178,113,3,31,33,1,98,87,85,91,82
116,557,242,112,7,51,18,0,90,86,82,82,86
116,557,138,89,4,32,22,1,86,82,75,79,79
116,578,159,93,5,20,28,1,143,140,138,61,66
116,584,143,78,5,34,9,0,90,88,82,82,82
116,633,159,77,2,34,11,0,175,168,81,82,82
116,633,139,51,4,34,22,1,86,82,77,75,75
116,664,121,57,1,28,14,0,97,90,3,82,82
116,664,137,61,2,47,24,1,90,86,88,82,86
116,681,148,73,1,34,15,0,93,90,79,82,82
116,681,80,45,0,29,25,1,90,90,0,79,79
116,699,76,39,0,31,13,0,93,93,0,90,82
116,699,86,30,1,23,13,1,46,46,50,46,46
116,750,174,75,6,33,21,0,197,190,186,90,86
116,750,199,76,2,18,21,1,32,32,36,36,32
116,880,176,62,3,17,22,0,93,93,39,86,82
116,880,200,75,6,21,21,1,57,57,57,57,57
116,928,134,61,2,26,18,0,57,57,54,50,50
116,928,138,63,5,15,23,1,82,79,75,72,75
116,950,119,60,4,11,17,1,90,86,86,75,79
116,956,124,61,1,34,18,0,28,28,28,28,27
116,979,112,72,7,17,15,0,97,95,90,86,86
116,980,213,87,11,25,24,1,222,216,150,200,202
116,1045,197,92,9,24,10,0,258,244,86,168,172
116,1045,123,45,9,15,5,1,97,97,93,90,93
116,1123,160,61,2,20,4,0,100,97,91,90,91
116,1123,137,43,2,11,5,1,97,93,95,93,82
116,1292,153,66,6,17,15,0,100,100,93,82,82
116,1292,102,34,4,18,4,1,100,97,93,86,95
116,1389,121,56,9,9,6,0,104,100,97,93,82
116,1389,108,39,3,17,9,1,102,97,97,86,82
116,1465,116,65,2,25,9,0,104,100,99,97,90
116,1465,125,49,1,16,8,1,104,100,90,93,82
116,1572,145,56,7,17,10,0,100,97,93,90,79
116,1572,127,46,6,19,3,1,104,100,95,93,90
116,1621,144,76,4,20,2,0,104,100,91,90,86
116,1621,118,52,5,8,3,1,190,97,93,82,82
